============================= test session starts =============================
platform win32 -- Python 3.12.11, pytest-8.4.2, pluggy-1.6.0 -- D:\ProjectGIT\TgBot\backend\.venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: D:\ProjectGIT\TgBot\backend
configfile: pyproject.toml
testpaths: tests
plugins: anyio-4.14.2, asyncio-1.4.0, cov-7.1.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 513 items / 409 deselected / 104 selected

tests/test_api_referrals.py::test_a_bonus_balance_is_reported_next_to_its_owner PASSED [  0%]
tests/test_bot_flow.py::test_the_bonus_section_is_reachable_without_a_product_link PASSED [  1%]
tests/test_bot_flow.py::test_the_bonus_section_never_calls_a_balance_telegram_stars PASSED [  2%]
tests/test_bot_flow.py::test_the_bonus_button_opens_the_section PASSED   [  3%]
tests/test_bot_flow.py::test_a_buyer_with_bonuses_is_asked_before_an_invoice_exists PASSED [  4%]
tests/test_bot_flow.py::test_declining_bonuses_bills_the_full_price PASSED [  5%]
tests/test_bot_flow.py::test_a_buyer_without_bonuses_is_never_asked PASSED [  6%]
tests/test_contracts.py::test_bonus_repository_satisfies_the_contract PASSED [  7%]
tests/test_domain_bonuses.py::test_the_discount_is_ten_percent_of_the_list_price PASSED [  8%]
tests/test_domain_bonuses.py::test_a_stars_discount_is_always_a_whole_number_of_stars PASSED [  9%]
tests/test_domain_bonuses.py::test_a_usdt_discount_is_rounded_down_to_a_cent PASSED [ 10%]
tests/test_domain_bonuses.py::test_a_tiny_price_simply_gets_no_discount PASSED [ 11%]
tests/test_domain_bonuses.py::test_a_zero_percent_discount_is_no_discount PASSED [ 12%]
tests/test_domain_bonuses.py::test_a_full_price_stars_purchase_earns_fifteen_percent PASSED [ 13%]
tests/test_domain_bonuses.py::test_the_reward_is_taken_from_what_was_actually_paid PASSED [ 14%]
tests/test_domain_bonuses.py::test_every_later_purchase_earns_its_own_reward PASSED [ 15%]
tests/test_domain_bonuses.py::test_a_stars_reward_is_floored PASSED      [ 16%]
tests/test_domain_bonuses.py::test_a_reward_too_small_to_express_is_zero PASSED [ 17%]
tests/test_domain_bonuses.py::test_a_usdt_purchase_is_converted_through_the_products_own_rate PASSED [ 18%]
tests/test_domain_bonuses.py::test_a_stars_purchase_needs_no_rate_at_all PASSED [ 19%]
tests/test_domain_bonuses.py::test_a_usdt_reward_is_floored_to_a_whole_bonus PASSED [ 20%]
tests/test_domain_bonuses.py::test_a_usdt_purchase_without_a_declared_rate_earns_nothing PASSED [ 21%]
tests/test_domain_bonuses.py::test_a_nonsensical_rate_earns_nothing[rate0] PASSED [ 22%]
tests/test_domain_bonuses.py::test_a_nonsensical_rate_earns_nothing[rate1] PASSED [ 23%]
tests/test_domain_bonuses.py::test_a_zero_percent_reward_earns_nothing PASSED [ 24%]
tests/test_domain_bonuses.py::test_bonuses_cover_at_most_half_the_price PASSED [ 25%]
tests/test_domain_bonuses.py::test_a_huge_balance_still_cannot_pay_more_than_the_cap PASSED [ 25%]
tests/test_domain_bonuses.py::test_a_small_balance_is_spent_in_full PASSED [ 26%]
tests/test_domain_bonuses.py::test_an_empty_balance_spends_nothing PASSED [ 27%]
tests/test_domain_bonuses.py::test_usdt_bonuses_need_a_declared_rate_to_be_spent PASSED [ 28%]
tests/test_domain_bonuses.py::test_a_small_usdt_balance_is_spent_in_full PASSED [ 29%]
